7416 CD O 7416 d 
| CD O | o 
| CD O | o 
| NNS O | o 
| VBP O | o 
25775 CD O 25775 d 
| CD O | o 
| CD O | o 
| NNS O | o 
| VBP O | o 
16234 CD O 16234 d 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
DISCHARGE_SUMMARY SUMMARY O discharge_summari CoC 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
2017-02-22 CD O 2017-02-22 dodod 
00:00:00.0 CD O 00:00:00.0 dododod 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
| FW O | o 
Admission NN O admission Cc 
Date NN O date Cc 
: : O : o 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
2017-01-31 CD O 2017-01-31 dodod 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
Discharge NNP O discharg Cc 
Date NNP O date Cc 
: : O : o 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
2017-02-22 CD O 2017-02-22 dodod 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
Date NN O date Cc 
of IN O of c 
Birth NNP O birth Cc 
: : O : o 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
1937-06-16 CD O 1937-06-16 dodod 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
Sex NN O sex Cc 
: : O : o 
F NN O f C 
Service NN O servic Cc 
: : O : o 
MEDICINE NNP O medicine C 
Allergies NNPS O allergi Cc 
: : O : o 
Penicillins NNS O penicillin Cc 
/ : O / o 
Cephalosporins NNS O cephalosporin Cc 
Attending VBG O attend Cc 
:[ CD O :[ o 
** SYM O ** o 
Attending VBG O attend Cc 
Info NN O info Cc 
474 CD O 474 d 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
Chief NNP O chief Cc 
Complaint NNP O complaint Cc 
: : O : o 
knee NN OB knee c 
pain NN OI pain c 
, , O , o 
fever NN OB fever c 
Major JJ O major Cc 
Surgical NNP O surgic Cc 
or CC O or c 
Invasive NNP O invasiv Cc 
Procedure NNP O procedur Cc 
: : O : o 
Incision NNP O incision Cc 
and CC O and c 
drainage NN O drainag c 
of IN O of c 
left JJ O left c 
septic JJ OB septic c 
knee NN O knee c 
on IN O on c 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
2017-02-01 CD O 2017-02-01 dodod 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
. . O . o 

History NN O histori Cc 
of IN O of c 
Present JJ O present Cc 
Illness NN O illness Cc 
: : O : o 
Ms. NNP O ms. Cco 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
lastname NN O lastnam c 
475 CD O 475 d 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
is VBZ O is c 
a DT O a c 
79 CD O 79 d 
yo NN O yo c 
female NN O femal c 
with IN O with c 
a DT O a c 
history NN O histori c 
of IN O of c 
CAD NN OB cad C 
and CC O and c 
CHF NN OB chf C 
with IN O with c 
EF NN O ef C 
of IN O of c 
20 CD O 20 d 
% NN O % o 
, , O , o 
CKD NNP OB ckd C 
who WP O who c 
presents VBZ O present c 
wtih NN O wtih c 
left VBD O left c 
knee NN OB knee c 
pain NN OI pain c 
. . O . o 

Patient NN O patient Cc 
was VBD O was c 
recently RB O recent c 
admitted VBN O admit c 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
Date NN O date Cc 
range NN O rang c 
-LRB- -LRB- O -lrb- oCo 
1 CD O 1 d 
-RRB- -RRB- O -rrb- oCo 
476 CD O 476 d 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
with IN O with c 
MSSA NN OB mssa C 
sepsis NN OI sepsi c 
with IN O with c 
unknown JJ O unknown c 
source NN O sourc c 
. . O . o 

TEE NN O tee C 
was VBD O was c 
negative JJ O negat c 
for IN O for c 
vegetations NNS OB veget c 
, , O , o 
but CC O but c 
since IN O sinc c 
she PRP O she c 
has VBZ O has c 
a DT O a c 
pacemaker NN O pacemak c 
she PRP O she c 
was VBD O was c 
treated VBN O treat c 
with IN O with c 
6 CD O 6 d 
weeks NNS O week c 
of IN O of c 
oxacillin NN O oxacillin c 
. . O . o 

She PRP O she Cc 
was VBD O was c 
discharged VBN O discharg c 
to TO O to c 
Epoch NNP O epoch Cc 
rehab NN O rehab c 
but CC O but c 
readmitted VBD O readmit c 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
12-26 CD O 12-26 dod 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
with IN O with c 
fevers NNS OB fever c 
. . O . o 

Blood NNP O blood Cc 
cultures NNS O cultur c 
were VBD O were c 
negative JJ O negat c 
. . O . o 

PICC NN O picc C 
line NN O line c 
was VBD O was c 
changed VBN O chang c 
and CC O and c 
did VBD O did c 
not RB O not c 
grow VB O grow c 
any DT O ani c 
bacteria NNS O bacteria c 
. . O . o 

TEE NN O tee C 
showed VBD O show c 
fibrinous JJ OB fibrin c 
material NN OI materi c 
on IN O on c 
the DT O the c 
pacer NN O pacer c 
lead NN O lead c 
, , O , o 
but CC O but c 
this DT O this c 
was VBD O was c 
not RB O not c 
felt VBN O felt c 
to TO O to c 
be VB O be c 
the DT O the c 
cause NN O caus c 
of IN O of c 
the DT O the c 
fevers NNS OB fever c 
. . O . o 

CT NN O ct C 
showed VBD O show c 
pleural JJ OB pleural c 
effusion NN OI effus c 
but CC O but c 
this DT O this c 
was VBD O was c 
thought VBN O thought c 
to TO O to c 
be VB O be c 
due JJ O due c 
to TO O to c 
CHF NN OB chf C 
and CC O and c 
not RB O not c 
infection NN OB infect c 
. . O . o 

There EX O there Cc 
was VBD O was c 
some DT O some c 
thought NN O thought c 
that IN O that c 
the DT O the c 
fevers NNS OB fever c 
were VBD O were c 
due JJ O due c 
to TO O to c 
beta NN O beta c 
lactam NN O lactam c 
allergy NN OB allergi c 
. . O . o 

The DT O the Cc 
patient NN O patient c 
was VBD O was c 
treated VBN O treat c 
with IN O with c 
vancomycin NN O vancomycin c 
for IN O for c 
two CD O two c 
weeks NNS O week c 
. . O . o 

Patient NN O patient Cc 
reports NNS O report c 
that IN O that c 
four CD O four c 
days NNS O day c 
prior RB O prior c 
to TO O to c 
admission NN O admiss c 
she PRP O she c 
began VBD O began c 
to TO O to c 
participate VB O particip c 
in IN O in c 
physical JJ O physic c 
therapy NN O therapi c 
and CC O and c 
two CD O two c 
days NNS O day c 
prior RB O prior c 
to TO O to c 
admission NN O admiss c 
she PRP O she c 
began VBD O began c 
to TO O to c 
note VB O note c 
left JJ O left c 
knee NN OB knee c 
pain NN OI pain c 
. . O . o 

This DT O this Cc 
has VBZ O has c 
been VBN O been c 
progressing VBG O progress c 
over IN O over c 
the DT O the c 
past JJ O past c 
day NN O day c 
. . O . o 

On IN O on Cc 
the DT O the c 
day NN O day c 
of IN O of c 
admission NN O admiss c 
she PRP O she c 
developed VBD O develop c 
a DT O a c 
temperature NN OB temperatur c 
of IN O of c 
99.2 CD O 99.2 dod 
and CC O and c 
shaking VBG OB shake c 
chills NNS OI chill c 
. . O . o 

ESR NN O esr C 
was VBD O was c 
79 CD O 79 d 
and CC O and c 
a DT O a c 
portable JJ O portabl c 
X NN O x C 
ray NN O ray c 
showed VBD O show c 
mild JJ O mild c 
arthritis NN OB arthriti c 
. . O . o 

She PRP O she Cc 
was VBD O was c 
sent VBN O sent c 
to TO O to c 
the DT O the c 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
Doctor NNP O doctor Cc 
First NNP O first Cc 
Name VB O name Cc 
77 CD O 77 d 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
for IN O for c 
evaluation NN O evalu c 
. . O . o 

In IN O in Cc 
the DT O the c 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
Doctor NNP O doctor Cc 
First NNP O first Cc 
Name VB O name Cc 
